-DOCSTART- -X- -X- O
by IN B-PP O
the DT I-PP O
collapse NN I-PP O
of IN I-PP O
land NN I-PP O
following VVG B-VP O
a DT B-NP O
volcanic JJ I-NP O
eruption NN I-NP O
. . O O

A DT B-NP O
Calf NP I-NP B-TERM
( ( O O
plural JJ B-NP O
calves NNS I-NP O
) ) O O
is VBZ B-VP O
the DT B-NP O
young JJ I-NP O
of IN B-PP O
various JJ I-PP O
species NNS I-PP O
of IN I-PP O
mammal NN B-NP B-HYPER
. . O O

The DT B-NP O
Caliph NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
head NN B-NP B-HYPER
of IN B-PP I-HYPER
state NN I-PP I-HYPER
in IN B-PP O
a DT I-PP O
Caliphate NN I-PP O
, , O O
and CC O O
the DT B-NP O
title NN I-NP O
for IN B-PP O
the NP I-PP O
leader NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
Islamic NP I-PP O
Ummah NP I-PP O
, , O O
an DT B-NP O
Islamic JJ I-NP O
community NN I-NP O
ruled VVN B-VP O
by IN B-PP O
the DT I-PP O
Shari'a NP I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Callisto NP B-NP B-TERM
was VBD B-VP O
a DT B-NP B-GENUS
nymph NN B-NP B-HYPER
of IN B-PP O
Artemis NP I-PP O
. . O O

The DT B-NP O
Cambrian NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
geologic JJ B-NP B-HYPER
period NN I-NP I-HYPER
and CC B-NP O
system NN B-NP B-HYPER
that WDT B-NP O
began VVD B-VP O
about IN B-PP O
Cambriancambrian NP I-PP O
Ma NP I-PP O
( ( O O
million CD B-NP O
years NNS I-NP O
ago RB I-NP O
) ) O O
at IN B-PP O
the DT I-PP O
end NN I-PP O
of IN I-PP O
the DT I-PP O
Proterozoic JJ I-PP O
eon NN I-PP O
and CC O O
ended VVN B-VP O
about IN B-PP O
cambrianordovician NP I-PP O
Ma NP I-PP O
with IN I-PP O
the DT I-PP O
beginning NN I-PP O
of IN I-PP O
the DT I-PP O
Ordovician JJ I-PP O
period NN I-PP O
ICS NP B-NP O
. . O O

The DT I-NP O
term NN I-NP O
Camel NN I-NP B-TERM
describes VVZ B-VP O
any DT B-NP O
of IN B-PP O
the DT I-PP O
six CD I-PP O
camellike JJ B-PP B-GENUS
creatures NNS B-PP B-HYPER
in IN B-PP O
the DT I-PP O
family NN I-PP O
Camelidae NP B-NP O
: : O O
the DT B-NP O
two CD I-NP O
true JJ I-NP O
camels NNS I-NP O
, , O O
and CC O O
the DT B-NP O
four CD I-NP O
South JJ I-NP O
American JJ I-NP O
camelids NNS I-NP O
, , O O
the DT B-NP O
llama NN I-NP O
, , I-NP O
alpaca NN I-NP O
, , I-NP O
guanaco NN I-NP O
, , I-NP O
and CC I-NP O
vicuÃ∞Â±a NN I-NP O
. . O O

The DT B-NP O
Canidae NP I-NP B-TERM
family NN I-NP O
is VBZ B-VP O
a DT B-NP O
part NN I-NP O
of IN B-PP O
the DT I-PP O
order NN I-PP O
Carnivora NN B-PP B-HYPER
within IN B-PP O
the DT I-PP O
mammals NNS I-PP O
( ( O O
Class NP B-NP O
Mammalia NP I-NP O
) ) O O
. . O O

A DT B-NP O
Cannon NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
type NN I-NP O
of IN B-PP O
artillery NN B-NP B-HYPER
, , O O
RB ADVP O O
JJ ADJP O O
CC ADJP O O
JJ ADJP O O
, , O O
that WDT B-NP O
uses VVZ B-VP O
gunpowder NN B-NP O
or CC O O
other JJ B-NP O
explosive-based JJ I-NP O
propellants NNS I-NP O
to TO B-VP O
launch VV I-VP O
a DT B-NP O
projectile NN I-NP O
over IN B-PP O
a DT I-PP O
distance NN I-PP O
. . O O

Capella NN B-NP B-TERM
refers VVZ B-VP O
to TO I-VP O
vocal JJ B-NP B-HYPER
music NN I-NP I-HYPER
or CC B-NP O
singing NN B-NP B-HYPER
without IN B-PP O
instrumental JJ I-PP O
accompaniment NN I-PP O
. . O O

A DT B-NP O
Capsid NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
protein NN B-NP B-HYPER
shell NN B-NP O
of IN B-PP O
a DT I-PP O
virus NN I-PP O
. . O O

A DT B-NP O
Carabiner NN I-NP B-TERM
or CC I-NP O
karabiner NN I-NP O
( ( O O
RB ADVP O O
: : O O
crab NN B-NP O
, , O O
D NP B-NP O
ring NN I-NP O
, , I-NP O
krab NN I-NP O
, , I-NP O
or CC I-NP O
'biner NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
metal NN B-NP B-HYPER
loop NN I-NP I-HYPER
with IN B-PP O
a DT I-PP O
sprung VVN I-PP O
or CC I-PP O
screwed VVN I-PP O
gate NN I-PP O
. . O O

The DT B-NP O
Carat NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
mass NN I-PP I-HYPER
used VVN B-VP O
for IN B-PP O
measuring VVG B-VP O
gems NNS B-NP O
and CC O O
pearls VVZ B-VP O
. . O O

In IN B-PP O
chemistry NN I-PP O
, , O O
a DT B-NP O
Carbide NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
compound NN I-NP O
of IN B-PP O
carbon NN B-NP B-HYPER
with IN B-PP O
a DT I-PP O
less RBR I-PP O
electronegative JJ I-PP O
element NN I-PP O
. . O O

A DT B-NP O
Carbine NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
firearm NN B-NP B-HYPER
JJ ADJP O O
to TO B-PP O
a DT I-PP O
rifle NN I-PP O
or CC I-PP O
musket NN I-PP O
, , O O
but CC O O
generally RB B-VP O
JJR ADJP O O
CC ADJP O O
of IN B-PP O
lesser JJR I-PP O
power NN I-PP O
. . O O

The DT B-NP O
Carboniferous NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
geologic JJ B-NP B-HYPER
period NN I-NP I-HYPER
and CC B-NP O
system NN B-NP B-HYPER
that WDT B-NP O
extends VVZ B-VP O
from IN B-PP O
the DT I-PP O
end NN I-PP O
of IN I-PP O
the DT I-PP O
Devonian JJ I-PP O
period NN I-PP O
, , O O
about RB B-NP O
359.2 CD I-NP O
± NN I-NP O
2.5 CD I-NP O
Ma NP I-NP O
( ( O O
million CD B-NP O
years NNS I-NP O
ago RB I-NP O
) ) O O
, , O O
to TO B-PP O
the DT I-PP O
beginning NN I-PP O
of IN I-PP O
the DT I-PP O
Permian JJ I-PP O
period NN I-PP O
, , O O
about RB B-NP O
299.0 CD I-NP O
± NN I-NP O
0.8 CD I-NP O
Ma NP I-NP O
ICS NP I-NP O
. . O O

In IN I-PP O
mathematics NN I-PP O
, , O O
the DT B-NP O
Cardinality NP I-NP B-TERM
of IN B-PP O
a DT I-PP O
set NN I-PP O
is VBZ B-VP O
a DT B-NP B-GENUS
measure NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
" `` I-PP O
number NN I-PP O
of IN I-PP O
elements NNS I-PP O
of IN I-PP O
the DT I-PP O
set NN I-PP O
" '' O O
. . O O

In IN B-PP O
phylogenetic JJ I-PP O
taxonomy NN I-PP O
, , O O
the DT B-NP O
Carinatae NP I-NP B-TERM
are VBP B-VP O
considered VVN I-VP O
the DT B-NP O
last JJ I-NP O
common JJ I-NP O
ancestor NN I-NP O
of IN B-PP O
Neornithes NP B-NP B-HYPER
(living NN B-NP O
birds NNS I-NP O
) ) I-NP O
and CC I-NP O
Ichthyornis NP B-NP B-HYPER
( ( B-NP O
an DT I-NP O
extinct JJ I-NP O
seabird NN I-NP O
of IN B-PP O
the DT I-PP O
Cretaceous JJ I-PP O
) ) O O
. . O O

A DT B-NP O
Carnivore NP I-NP B-TERM
( ( O O
/ˈkɑrnɪvɔər/ NP B-NP O
) ) O O
, , O O
meaning VVG B-VP O
'meat NN B-NP O
eater NN I-NP O
' '' O O
( ( O O
Latin JJ B-NP O
carne NN I-NP O
meaning VVG B-VP O
'flesh NP B-NP O
' POS I-NP O
and CC O O
vorare JJ B-NP O
meaning VVG I-NP O
'to NN I-NP O
devour VV B-VP O
' '' O O
) ) O O
, , O O
is VBZ B-VP O
an DT B-NP B-GENUS
animal NN B-NP B-HYPER
with IN B-PP O
a DT I-PP O
diet NN I-PP O
consisting VVG B-VP O
RB ADVP O O
of IN B-PP O
meat NN I-PP O
, , O O
whether IN O O
it PP B-NP O
comes VVZ B-VP O
from IN B-PP O
animals NNS I-PP O
living VVG I-PP O
( ( I-PP O
predation NN I-PP O
) ) O O
or CC O O
dead JJ B-NP O
( ( I-NP O
scavenging VVG I-NP O
) ) I-NP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Cassandra NP B-NP B-TERM
( ( O O
Greek NP B-NP O
: : O O
Κασσάνδρα NN B-NP O
" `` O O
she PP B-NP O
who WP I-NP O
entangles VVZ B-VP O
women NNS B-NP O
" '' O O
) ) O O
( ( B-NP O
also RB B-VP O
known VVN I-VP O
as IN O O
Alexandra NP B-NP O
) ) O O
was VBD B-VP O
the DT B-NP B-GENUS
daughter NN B-NP B-HYPER
of IN B-PP O
King NP I-PP O
Priam NP I-PP O
and CC B-NP O
Queen NP I-NP O
Hecuba NP I-NP O
of IN B-PP O
Troy NP I-PP O
. . O O

A DT B-NP O
Castrato NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
man NN B-NP B-HYPER
with IN B-PP O
a DT I-PP O
singing VVG I-PP O
voice NN I-PP O
equivalent NN B-PP O
to TO I-PP O
that DT I-PP O
of IN I-PP O
a DT I-PP O
soprano NN I-PP O
, , O O
mezzo-soprano NN B-NP O
, , O O
or CC O O
contralto JJ B-NP O
voice NN I-NP O
produced VVD B-VP O
RB ADVP O O
by IN B-PP O
castration NN I-PP O
of IN I-PP O
the DT I-PP O
singer NN I-PP O
before IN I-PP O
puberty NN I-PP O
or CC I-PP O
one NN I-PP O
who WP B-NP O
, , O O
because IN B-PP O
of IN I-PP O
an DT I-PP O
endocrinological JJ I-PP O
condition NN I-PP O
, , O O
RB ADVP O O
reaches VVZ B-VP O
sexual JJ B-NP O
maturity NN I-NP O
. . O O

A DT I-NP O
Catapult NP I-NP B-TERM
is VBZ B-VP O
any DT B-NP O
one NN I-NP O
of IN B-PP O
a DT I-PP O
number NN I-PP O
of IN I-PP O
non-handheld NP B-PP B-GENUS
mechanical JJ B-NP B-HYPER
devices NNS I-NP I-HYPER
used VVD B-VP O
to TO I-VP O
throw VV I-VP O
a DT B-NP O
projectile NN I-NP O
a DT I-NP O
great JJ I-NP O
distance NN I-NP O
without IN B-PP O
the DT I-PP O
aid NN I-PP O
of IN I-PP O
an DT I-PP O
explosive JJ I-PP O
substanceÃ¢Â•Â‰particularly JJ I-PP O
various JJ I-PP O
types NNS I-PP O
of IN I-PP O
ancient JJ I-PP O
and CC I-PP O
medieval JJ I-PP O
siege NN I-PP O
engines NNS I-PP O
. . O O

A DT B-NP O
Cathode NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
electrode NN B-NP B-HYPER
through NN B-NP O
which WDT I-NP O
( ( I-NP O
positive JJ I-NP O
) ) I-NP O
electric JJ I-NP O
current JJ I-NP O
flows NNS I-NP O
out IN B-PP O
of IN I-PP O
a DT I-PP O
polarized VVN I-PP O
electrical JJ I-PP O
device NN I-PP O
. . O O

A DT B-NP O
Cave NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
natural NN I-NP I-GENUS
underground NN B-NP B-HYPER
void JJ B-NP O
large JJ I-NP O
enough NN I-NP O
for IN B-PP O
a DT I-PP O
human NN I-PP O
to TO B-VP O
enter VV I-VP O
. . O O

The DT B-NP O
Cebidae NP I-NP B-TERM
form NN B-NP O
one NN I-NP O
of IN B-PP O
the DT I-PP O
four CD I-PP O
families NNS I-PP O
of IN I-PP O
New NP B-PP B-HYPER
World NP I-PP I-HYPER
monkeys NNS I-PP I-HYPER
now RB B-VP O
recognised VVN I-VP O
. . O O

The DT B-NP O
Cell NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
structural JJ B-NP B-HYPER
and CC I-NP I-HYPER
functional JJ I-NP I-HYPER
unit NN I-NP I-HYPER
of IN B-PP O
all DT B-NP O
known VVN I-NP O
living NN I-NP O
organisms NNS I-NP O
. . O O

The DT I-NP O
Cello NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
bowed VVN I-NP I-GENUS
string NN I-NP I-GENUS
instrument NN B-NP B-HYPER
. . O O

In IN B-PP O
the DT I-PP O
most RBS I-PP O
general JJ I-PP O
sense NN I-PP O
of IN I-PP O
the DT I-PP O
word NN I-PP O
, , O O
a DT B-NP O
Cement NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
binder NN B-NP B-HYPER
, , O O
a DT B-NP O
substance NN I-NP O
which WDT I-NP O
sets VVZ B-VP O
and CC O O
hardens VVZ B-VP O
RB ADVP O O
, , O O
and CC O O
can MD B-VP O
bind VV I-VP O
other JJ B-NP O
materials NNS I-NP O
RB ADVP O O
. . O O

A DT B-NP O
Centimetre NP I-NP B-TERM
( ( O O
American JJ B-NP O
spelling NN I-NP O
: : O O
centimeter NN B-NP O
, , O O
symbol NN B-NP O
cm NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
length NN I-PP I-HYPER
in IN B-PP O
the NP I-PP O
metric JJ B-NP O
system NN I-NP O
, , O O
equal JJ B-NP O
to TO I-NP O
one PP I-NP O
JJ ADJP O O
of IN B-PP O
a DT I-PP O
metre NN I-PP O
, , O O
which WDT B-NP O
is VBZ B-VP O
the DT B-NP O
current JJ I-NP O
SI NP I-NP O
base NN I-NP O
unit NN I-NP O
of IN B-PP O
length NN I-PP O
. . O O

A DT B-NP O
Centriole NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
barrel NN I-NP I-GENUS
shaped VVN B-VP I-GENUS
organelle NN B-NP B-HYPER
found VVN B-VP O
in IN B-PP O
most RBS I-PP O
animal JJ I-PP O
eukaryotic JJ I-PP O
cells NNS I-PP O
, , O O
RB ADVP O O
JJ ADJP O O
in IN B-PP O
higher JJR I-PP O
plants NNS I-PP O
and CC I-PP O
fungi NNS I-PP O
. . O O

In IN B-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Cerberus NP B-NP B-TERM
or CC O O
Kerberos NP B-NP O
( ( I-NP O
Greek JJ I-NP O
Κέρβερος NN I-NP O
, , O O
Kérberos NP B-NP O
or CC I-NP O
Sürbürǔs NP I-NP O
, , O O
the DT B-NP O
daemon NN I-NP O
or CC I-NP O
ker NN I-NP O
of IN B-PP O
Erebos NP I-PP O
) ) O O
was VBD B-VP O
the DT B-NP B-GENUS
hound NN B-NP B-HYPER
of IN B-PP O
Hades NP I-PP O
, , O O
a DT B-NP O
monstrous JJ I-NP O
three-headed JJ I-NP O
dog NN I-NP O
with IN B-PP O
a DT I-PP O
snake NN I-PP O
for IN I-PP O
a DT I-PP O
tail NN I-PP O
and CC O O
snakes VVZ B-VP O
down RP O O
his PP$ B-NP O
back NN I-NP O
like IN B-PP O
a DT I-PP O
mane NN I-PP O
, , O O
whose WP$ B-NP O
analogs NNS I-NP O
in IN B-PP O
other JJ I-PP O
cultures NNS I-PP O
are VBP B-VP O
hellhounds NNS B-NP O
. . O O

The DT I-NP O
Cervix NP I-NP B-TERM
( ( O O
from IN B-PP O
Latin JJ I-PP O
" `` I-PP O
neck NN I-PP O
" '' O O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
neck NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
uterus NN I-PP O
WRB ADVP O O
it PP B-NP O
joins VVZ B-VP O
with IN B-PP O
the DT I-PP O
top JJ I-PP O
end NN I-PP O
of IN I-PP O
the DT I-PP O
vagina NN I-PP O
. . O O

Chaos NN B-NP B-TERM
RB ADVP O O
refers VVZ B-VP O
to TO I-VP O
unpredictability NN B-NP B-HYPER
, , O O
and CC O O
is VBZ B-VP O
the DT B-NP O
antithesis NN I-NP O
of IN B-PP O
cosmos NNS I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Kharybdis NP B-NP O
or CC O O
Charybdis NP B-NP B-TERM
( ( O O
/kəˈrɪbdɨs/ NNS B-NP O
; : O O
in IN B-PP O
Greek NP I-PP O
, , O O
Χάρυβδις NP B-NP O
) ) O O
was VBD B-VP O
a DT B-NP B-GENUS
sea NN I-NP I-GENUS
monster NN B-NP B-HYPER
, , O O
the DT B-NP O
daughter NN I-NP O
of IN B-PP O
Poseidon NP I-PP O
and CC I-PP O
Gaia NP I-PP O
. . O O

A DT B-NP O
Chemist NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
scientist NN B-NP B-HYPER
trained VVN B-VP O
in IN B-PP O
the DT I-PP O
science NN I-PP O
of IN I-PP O
chemistry NN I-PP O
. . O O

Chirality NN B-NP B-TERM
, , I-NP O
or CC I-NP O
" `` I-NP O
handedness NN I-NP O
" '' I-NP O
, , I-NP O
( ( O O
Greek NP B-NP O
, , O O
χειρ NN B-NP O
, , I-NP O
kheir NN I-NP O
: : O O
" `` O O
hand NN B-NP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
property NN B-NP B-HYPER
of IN B-PP O
asymmetry NN I-PP O
JJ ADJP O O
in IN B-PP O
several JJ I-PP O
branches NNS I-PP O
of IN I-PP O
science NN I-PP O
. . O O

The DT B-NP O
Chlorophyceae NP I-NP B-TERM
are VBP B-VP O
one CD B-NP O
of IN B-PP O
the DT I-PP O
classes NNS I-PP O
of IN I-PP O
green NN B-PP B-GENUS
algae NN B-NP B-HYPER
, , O O
distinguished VVN B-VP O
RB ADVP O O
on IN B-PP O
the DT I-PP O
basis NN I-PP O
of IN I-PP O
ultrastructural JJ I-PP O
morphology NN I-PP O
. . O O

The DT B-NP O
Choctaw NP I-NP B-TERM
are VBP B-VP O
a DT B-NP B-GENUS
Native NP I-NP I-GENUS
American NP I-NP I-GENUS
people NNS B-NP B-HYPER
RB ADVP O O
from IN B-PP O
the DT I-PP O
Southeastern NP I-PP O
United NP I-PP O
States NPS I-PP O
( ( O O
Mississippi NP B-NP O
, , O O
Alabama NP B-NP O
, , O O
and CC O O
Louisiana NP B-NP O
) ) O O
. . O O

RB ADVP O O
a DT B-NP O
Chronicle NP I-NP B-TERM
( ( O O
chronica NP B-NP O
, , O O
from IN B-PP O
Greek JJ I-PP O
χρονικά NN I-PP O
( ( O O
from IN B-PP O
χρόνος NN I-PP O
) ) O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
historical JJ B-NP B-HYPER
account NN I-NP I-HYPER
of IN B-PP O
facts NNS I-PP O
and CC O O
events NNS B-NP O
in IN B-PP O
chronological JJ I-PP O
order NN I-PP O
. . O O

Cider NN B-NP B-TERM
( ( O O
/ˈsaɪdər/ NN B-NP O
) ) O O
is VBZ B-VP O
an DT B-NP B-GENUS
alcoholic JJ B-NP B-HYPER
beverage NN I-NP I-HYPER
made VVN B-VP O
from IN B-PP O
the DT I-PP O
fermented VVN I-PP O
juice NN I-PP O
of IN I-PP O
apples NNS I-PP O
RB ADVP O O
, , O O
though IN O O
pears NNS B-NP O
are VBP B-VP O
also RB I-VP O
used VVN I-VP O
; : O O
in IN B-PP O
the DT I-PP O
UK NP I-PP O
, , I-PP O
pear NN I-PP O
cider NN I-PP O
is VBZ B-VP O
known VVN I-VP O
as IN B-PP O
perry NN I-PP O
. . O O

The DT B-NP O
Cimbri NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
Celtic JJ I-NP I-GENUS
or CC O I-GENUS
JJ ADJP O I-GENUS
tribe NN B-NP B-HYPER
who WP B-NP O
RB ADVP O O
with IN B-PP O
the DT I-PP O
Teutones NPS I-PP O
and CC O O
the DT B-NP O
Ambrones NP I-NP O
threatened VVD B-VP O
the DT B-NP O
Roman NP I-NP O
Republic NP I-NP O
in IN B-PP O
the DT I-PP O
late JJ I-PP O
2nd JJ I-PP O
century NN I-PP O
BC NP B-NP O
. . O O

In IN B-PP O
cryptography NN I-PP O
, , O O
a DT B-NP O
Cipher NP I-NP B-TERM
( ( O O
or CC O O
cypher NN B-NP O
) ) O O
is VBZ B-VP O
an DT B-NP B-GENUS
algorithm NN B-NP B-HYPER
for IN O O
performing VVG B-VP O
encryption NN B-NP O
and CC I-NP O
decryption NN I-NP O
- : O O
a DT B-NP O
series NN I-NP O
of IN B-PP O
well-defined JJ I-PP O
steps NNS I-PP O
that WDT B-NP O
can MD B-VP O
be VB I-VP O
followed VVN I-VP O
as IN B-PP O
a DT I-PP O
procedure NN I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Circe NP B-NP B-TERM
or CC I-NP O
sərsē NP I-NP O
( ( O O
Greek NP B-NP O
Κίρκη NP I-NP O
Kírkē NP I-NP O
, , O O
falcon NN B-NP O
) ) O O
, , O O
was VBD B-VP O
a DT B-NP B-GENUS
Queen NP I-NP I-GENUS
goddess NN B-NP B-HYPER
( ( B-NP O
CC ADJP O O
sometimes RB B-NP O
nymph NN I-NP O
or CC I-NP O
sorceress NN I-NP O
) ) I-NP O
living NN I-NP O
on IN B-PP O
the DT I-PP O
island NN I-PP O
of IN I-PP O
Aeaea NP I-PP O
. . O O

The DT B-NP O
Circumference NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
distance NN B-NP B-HYPER
around IN B-PP O
a DT I-PP O
closed JJ I-PP O
curve NN I-PP O
. . O O

The DT B-NP O
Cirth NP I-NP B-TERM
( ( O O
" `` O O
Runes NP B-NP O
" '' O O
) ) O O
are VBP B-VP O
the DT B-NP B-GENUS
letters NNS B-NP B-HYPER
of IN B-PP O
an DT I-PP O
artificial JJ I-PP O
script NN I-PP O
which WDT B-NP O
was VBD B-VP O
invented VVN I-VP O
by IN B-PP O
J. NP I-PP O
R. NP I-PP O
R. NP I-PP O
Tolkien NP I-PP O
for IN I-PP O
the DT I-PP O
constructed VVN I-PP O
languages NNS I-PP O
he PP B-NP O
devised VVN B-VP O
and CC I-VP O
used VVN I-VP O
in IN B-PP O
his PP$ I-PP O
works NNS I-PP O
. . O O

A DT B-NP O
Citadel NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
fortress NN B-NP B-HYPER
for IN B-PP O
protecting VVG B-VP O
a DT B-NP O
town NN I-NP O
, , O O
RB ADVP O O
incorporating VVG B-VP O
a DT B-NP O
castle NN I-NP O
. . O O

A DT B-NP O
Civilization NN I-NP B-TERM
or CC O O
civilisation NN B-NP O
is VBZ B-VP O
a DT B-NP B-GENUS
society NN I-NP I-GENUS
or CC I-NP I-GENUS
culture NN B-NP B-HYPER
group NN I-NP I-HYPER
normally RB B-VP O
defined VVN I-VP O
as IN B-PP O
a DT I-PP O
complex JJ I-PP O
society NN I-PP O
characterized VVN B-VP O
by IN B-PP O
the DT I-PP O
practice NN I-PP O
of IN I-PP O
agriculture NN I-PP O
and CC I-PP O
settlement NN I-PP O
in IN I-PP O
cities NNS I-PP O
. . O O

A DT B-NP O
Clade NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
taxonomic JJ I-NP I-GENUS
group NN B-NP B-HYPER
comprising VVG B-VP O
a DT B-NP O
single JJ I-NP O
common JJ I-NP O
ancestor NN I-NP O
and CC O O
all PDT B-NP O
the DT I-NP O
descendants NNS I-NP O
of IN B-PP O
that DT I-PP O
ancestor NN I-PP O
. . O O

The DT B-NP O
Clarinet NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
musical NN I-NP I-GENUS
instrument NN B-NP B-HYPER
in IN B-PP O
the DT I-PP O
woodwind NN I-PP O
family NN I-PP O
. . O O

Classics NN I-NP B-TERM
or CC O O
Classical NP B-NP O
Studies NPS I-NP O
is VBZ B-VP O
the DT B-NP O
branch NN I-NP O
of IN B-PP O
the DT B-PP B-GENUS
Humanities NNS B-PP B-HYPER
dealing VVG B-VP O
with IN B-PP O
the DT I-PP O
languages NNS I-PP O
, , I-PP O
literature NN I-PP O
, , I-PP O
history NN I-PP O
, , I-PP O
art NN I-PP O
, , I-PP O
and CC I-PP O
other JJ I-PP O
aspects NNS I-PP O
of IN I-PP O
the DT I-PP O
ancient JJ I-PP O
Mediterranean NP I-PP O
world NN I-PP O
; : O O
RB ADVP O O
Ancient NP B-NP O
Greece NP I-NP O
and CC I-NP O
Ancient NP I-NP O
Rome NP I-NP O
during IN B-PP O
the DT I-PP O
time NN I-PP O
known VVN B-VP O
as IN B-PP O
classical JJ I-PP O
antiquity NN I-PP O
, , O O
roughly RB B-VP O
spanning VVG I-VP O
from IN B-PP O
the DT I-PP O
Ancient NP I-PP O
Greek NP I-PP O
Bronze NP I-PP O
Age NP I-PP O
in IN I-PP O
1000 CD I-PP O
BC NP I-PP O
to TO I-PP O
the DT B-NP O
Dark NP I-NP O
Ages NPS I-NP O
circa IN B-PP O
AD NP I-PP O
. . O O

A DT B-NP O
Clerihew NP I-NP B-TERM
( ( O O
or CC O O
clerihew NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
very RB I-NP O
specific JJ I-NP O
kind NN I-NP O
of IN B-PP O
short JJ B-PP B-GENUS
biographical JJ I-PP I-GENUS
JJ ADJP O I-GENUS
verse NN B-NP B-HYPER
. . O O

In IN B-PP O
linguistics NN I-PP O
, , O O
a DT B-NP O
Clitic NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
grammatically RB I-NP I-GENUS
JJ ADJP O I-GENUS
and CC O I-GENUS
phonologically RB B-NP I-GENUS
dependent JJ I-NP I-GENUS
word NN B-NP B-HYPER
. . O O

The DT B-NP O
Clitoris NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
organ NN B-NP B-HYPER
that WDT B-NP O
is VBZ B-VP O
JJ ADJP O O
only RB B-NP O
in IN B-PP O
female JJ I-PP O
mammals NNS I-PP O
. . O O

A DT B-NP O
Clock NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
instrument NN B-NP B-HYPER
for IN B-PP O
measuring NN B-NP O
, , O O
indicating VVG B-VP O
and CC I-VP O
maintaining VVG I-VP O
the DT B-NP O
time NN I-NP O
. . O O

A DT I-NP O
Clutch NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
mechanism NN B-NP B-HYPER
for IN B-PP O
transmitting VVG B-VP O
rotation NN B-NP O
, , O O
which WDT B-NP O
can MD B-VP O
be VB I-VP O
engaged VVN I-VP O
and CC I-VP O
disengaged VVN I-VP O
. . O O

The DT B-NP O
Coast NP I-NP B-TERM
is VBZ B-VP O
defined VVN I-VP O
as IN B-PP O
the DT I-PP O
part NN I-PP O
of IN I-PP O
the DT B-PP B-GENUS
land NN B-PP B-HYPER
JJ ADJP O O
CC ADJP O O
near IN B-PP O
the DT I-PP O
ocean NN I-PP O
. . O O

A DT B-NP O
Cocktail NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
style NN I-NP O
of IN B-PP O
mixed VVN B-VP B-GENUS
drink NN B-NP B-HYPER
. . O O

In IN B-PP O
communications NNS I-PP O
, , O O
a DT B-NP O
Code NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
rule NN B-NP B-HYPER
for IN B-PP O
converting VVG B-VP O
a DT B-NP O
piece NN I-NP O
of IN B-PP O
information NN I-PP O
