-DOCSTART- -X- -X- O
Array NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
data NN B-NP B-HYPER
structure NN I-NP I-HYPER
consisting VVG B-VP O
of IN B-PP O
a DT I-PP O
group NN I-PP O
of IN I-PP O
elements NNS I-PP O
that WDT B-NP O
are VBP B-VP O
accessed VVN I-VP O
by IN B-PP O
indexing NN I-PP O
. . O O

RB ADVP O O
the DT B-NP O
term NN I-NP O
Art NN I-NP B-TERM
was VBD B-VP O
used VVN I-VP O
to TO I-VP O
refer VV I-VP O
to TO I-VP O
RB ADJP O B-GENUS
skill NN B-NP B-HYPER
or CC B-NP O
mastery NN B-NP B-HYPER
, , O O
a DT B-NP O
concept NN I-NP O
which WDT I-NP O
altered VVD B-VP O
during IN B-PP O
the DT I-PP O
Romantic JJ I-PP O
period NN I-PP O
, , O O
when WRB O O
art NN B-NP O
came VVD B-VP O
to TO I-VP O
be VB I-VP O
seen VVN I-VP O
as IN B-PP O
" `` O O
a DT B-NP O
special JJ I-NP O
faculty NN I-NP O
of IN B-PP O
the DT I-PP O
human JJ I-PP O
mind NN I-PP O
to TO B-VP O
be VB I-VP O
classified VVN I-VP O
with IN B-PP O
religion NN I-PP O
and CC I-PP O
science NN I-PP O
" '' O O
. . O O

In IN B-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Artemis NP B-NP B-TERM
was VBD B-VP O
the DT B-NP B-GENUS
daughter NN B-NP B-HYPER
of IN B-PP O
Zeus NP I-PP O
and CC I-PP O
Leto NP I-PP O
, , O O
and CC O O
the DT B-NP O
twin JJ I-NP O
sister NN I-NP O
of IN B-PP O
Apollo NP I-PP O
. . O O

Aslan NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
Turkish NN I-NP O
word NN I-NP O
also RB B-VP O
used VVN I-VP O
in IN B-PP O
Persian NP I-PP O
, , O O
with IN B-PP O
the DT I-PP O
meaning NN I-PP O
of IN I-PP O
lion NN B-PP B-HYPER
. . O O

In IN B-PP O
phonetics NN I-PP O
, , O O
Aspiration NP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
RB ADJP O I-GENUS
burst NN B-NP B-HYPER
of IN B-PP I-HYPER
air NN I-PP I-HYPER
that WDT B-NP O
accompanies VVZ B-VP O
either CC O O
the DT B-NP O
release NN I-NP O
or CC O O
, , O O
in IN B-PP O
the DT I-PP O
case NN I-PP O
of IN I-PP O
preaspiration NN I-PP O
, , O O
the DT B-NP O
closure NN I-NP O
of IN B-PP O
some DT I-PP O
obstruents NNS I-PP O
. . O O

In IN I-PP O
business NN I-PP O
and CC I-PP O
accounting NN I-PP O
, , O O
an DT B-NP O
Asset NP I-NP B-TERM
is VBZ B-VP O
defined VVN I-VP O
as IN B-PP O
a DT B-PP B-GENUS
probable JJ I-PP I-GENUS
future NN I-PP I-GENUS
JJ ADJP O I-GENUS
benefit NN B-NP B-HYPER
obtained VVN B-VP O
or CC O O
controlled VVN B-VP O
by IN B-PP O
a DT I-PP O
particular JJ I-PP O
entity NN I-PP O
as IN I-PP O
a DT I-PP O
result NN I-PP O
of IN I-PP O
a DT I-PP O
past JJ I-PP O
transaction NN I-PP O
or CC I-PP O
event NN I-PP O
. . O O

The DT B-NP O
family NN I-NP O
Asteraceae NP I-NP B-TERM
or CC O O
Compositae NP B-NP O
( ( O O
known VVN B-VP O
as IN B-PP O
the DT I-PP O
aster NN I-PP O
, , O O
daisy NN B-NP O
, , O O
or CC O O
sunflower NN B-NP O
family NN I-NP O
) ) O O
is VBZ B-VP O
the DT B-NP O
largest JJS I-NP O
family NN I-NP O
of IN B-PP O
flowering VVG B-VP B-GENUS
plants NNS B-NP B-HYPER
, , O O
in IN B-PP O
terms NNS I-PP O
of IN I-PP O
number NN I-PP O
of IN I-PP O
species NNS I-PP O
. . O O

The DT B-NP O
Asterales NP I-NP B-TERM
are VBP B-VP O
an DT B-NP O
order NN I-NP O
of IN B-PP O
JJ ADJP O B-GENUS
flowering VVG B-VP I-GENUS
plants NNS B-NP B-HYPER
which WDT B-NP O
include VVP B-VP O
the DT B-NP O
composite JJ I-NP O
family NN I-NP O
Asteraceae NNS I-NP O
( ( O O
sunflowers NNS B-NP O
, , O O
daisies NNS B-NP O
, , O O
thistles NNS B-NP O
etc. FW I-NP O
) ) O O
and CC O O
its PP$ B-NP O
related JJ I-NP O
families NNS I-NP O
. . O O

Astrobiology NN I-NP B-TERM
( ( O O
from IN B-PP O
JJ ADJP O O
: : O O
ἄστρον NN B-NP O
, , O O
astro NP B-NP O
, , O O
" `` O O
constellation NN B-NP O
" '' O O
; : O O
βίος NN B-NP O
, , O O
bios NNS B-NP O
, , O O
" `` O O
life NN B-NP O
" '' O O
; : O O
and CC O O
λογία NN B-NP O
, , O O
logos NNS B-NP O
, , O O
" `` O O
knowledge NN B-NP O
" '' O O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
JJ ADJP O I-GENUS
study NN B-NP B-HYPER
of IN B-PP O
life NN I-PP O
in IN I-PP O
the DT I-PP O
universe NN I-PP O
, , I-PP O
combining NN B-NP O
aspects NNS I-NP O
of IN B-PP O
astronomy NN I-PP O
, , I-PP O
biology NN I-PP O
and CC I-PP O
geology NN I-PP O
. . O O

An DT B-NP O
Astronaut NN I-NP B-TERM
or CC I-NP O
cosmonaut NN I-NP O
( ( O O
космона́вт NN B-NP O
kəsmʌˈnaft NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
person NN B-NP B-HYPER
trained VVN B-VP O
by IN B-PP O
a DT I-PP O
human JJ I-PP O
spaceflight NN I-PP O
program NN I-PP O
to TO B-VP O
command VV I-VP O
, , O O
pilot NN B-NP O
, , O O
or CC O O
serve VV B-VP O
as IN O O
a DT B-NP O
crew NN I-NP O
member NN I-NP O
of IN B-PP O
a DT I-PP O
spacecraft NN I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Athena NP B-NP B-TERM
( ( O O
RB ADVP O O
called VVN B-VP O
Athene NP B-NP O
, , O O
JJ ADJP O O
: : O O
Ἀθηνᾶ NN B-NP O
, , O O
,Athēnā NP B-NP O
or CC O O
Ἀθηναία NN B-NP O
, , O O
Athēnaia NP B-NP O
; : O O
JJ ADJP O O
: : O O
Ἀθάνα NN B-NP O
, , O O
Athana NP B-NP O
; : O O
Latin NP B-NP O
: : O O
Minerva NP B-NP O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
JJ ADJP O I-GENUS
companion NN B-NP B-HYPER
of IN B-PP O
heroes NNS I-PP O
and CC O O
the DT B-NP O
goddess NN I-NP O
of IN B-PP O
heroic JJ I-PP O
endeavour NN I-PP O
. . O O

AUDI NP B-NP O
AG NP I-NP O
, , O O
commonly RB B-VP O
known VVN I-VP O
as IN B-PP O
Audi NP I-PP B-TERM
, , O O
is VBZ B-VP O
a DT B-NP B-GENUS
premium NN I-NP I-GENUS
luxury NN I-NP I-GENUS
German JJ I-NP I-GENUS
automobile NN I-NP I-GENUS
manufacturer NN B-NP B-HYPER
which WDT B-NP O
produces VVZ B-VP O
Audi NP B-NP O
branded VVD B-VP O
cars NNS B-NP O
, , O O
with IN B-PP O
headquarters NN I-PP O
in IN I-PP O
Ingolstadt NP I-PP O
, , O O
Bavaria NP B-NP O
. . O O

The DT I-NP O
Aurochs NN I-NP B-TERM
or CC I-NP O
urus NN I-NP O
( ( O O
Bos NP B-NP O
primigenius NP I-NP O
) ) O O
was VBD B-VP O
a DT B-NP O
very RB I-NP O
large JJ I-NP O
type NN I-NP O
of IN B-PP O
cattle NNS B-NP B-HYPER
that WDT B-NP O
was VBD B-VP O
JJ ADJP O O
in IN B-PP O
Europe NP I-PP O
until IN I-PP O
its PP$ I-PP O
extinction NN I-PP O
in IN I-PP O
. . O O

An DT B-NP O
Autobiography NP I-NP B-TERM
, , O O
from IN B-PP O
the DT I-PP O
Greek JJ I-PP O
autos NNS I-PP O
, , O O
'self NP B-NP O
' POS I-NP O
, , O O
bios NNS B-NP O
, , O O
JJ ADJP O O
' '' O O
and CC O O
graphein NP B-NP O
, , O O
'write NP B-NP O
' POS I-NP O
is VBZ B-VP O
a DT B-NP B-GENUS
biography NN B-NP B-HYPER
written VVN B-VP O
by IN B-PP O
the DT I-PP O
subject NN I-PP O
or CC O O
composed VVN B-VP O
RB ADVP O O
with IN B-PP O
a DT I-PP O
collaborative JJ I-PP O
writer NN I-PP O
( ( O O
styled VVN B-PP O
" `` I-PP O
RB ADVP O O
told VVN B-VP O
to TO I-VP O
" '' O O
or CC O O
" `` O O
with IN B-PP O
" '' O O
) ) O O
. . O O

In IN B-PP O
mathematics NN I-PP O
, , O O
an DT B-NP O
Automorphism NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
isomorphism NN B-NP B-HYPER
from IN B-PP O
a DT I-PP O
mathematical JJ I-PP O
object NN I-PP O
to TO I-PP O
itself PP I-PP O
. . O O

In IN B-PP O
traditional JJ I-PP O
logic NN I-PP O
, , O O
an DT B-NP O
Axiom NN I-NP B-TERM
or CC O O
postulate NN B-NP O
is VBZ B-VP O
a DT B-NP B-GENUS
proposition NN B-NP B-HYPER
that WDT B-NP O
is VBZ B-VP O
not RB I-VP O
proved VVN I-VP O
or CC I-VP O
demonstrated VVN I-VP O
but CC I-VP O
considered VVN I-VP O
to TO I-VP O
be VB I-VP O
RB ADVP O O
self-evident JJ B-NP O
, , O O
or CC O O
JJ ADJP O O
to TO B-PP O
JJ ADJP O O
decision NN B-NP O
. . O O

An DT I-NP O
Axon NN I-NP B-TERM
or CC I-NP O
nerve NN I-NP O
fiber NN I-NP O
is VBZ B-VP O
a DT B-NP B-GENUS
long JJ I-NP I-GENUS
, , O I-GENUS
JJ ADJP O I-GENUS
projection NN B-NP B-HYPER
of IN B-PP O
a DT I-PP O
nerve NN I-PP O
cell NN I-PP O
, , O O
or CC O O
neuron NN B-NP O
, , O O
that WDT B-NP O
conducts VVZ B-VP O
electrical JJ B-NP O
impulses NNS I-NP O
RB ADVP O O
from IN B-PP O
the DT I-PP O
neuron NN I-PP O
's POS I-PP O
cell NN B-NP O
body NN I-NP O
or CC I-NP O
soma NN I-NP O
. . O O

The DT I-NP O
Azawakh NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
sighthound NN I-NP I-GENUS
dog NN B-NP B-HYPER
breed NN I-NP I-HYPER
from IN B-PP O
Africa NP I-PP O
. . O O

The DT B-NP O
Azores NP I-NP B-TERM
( ( O O
/əˈzɔrz/ NP B-NP O
ə-zorz NP I-NP O
or CC I-NP O
[ɐˈsoɾɨʃ] NN I-NP O
) ) O O
are VBP B-VP O
a DT B-NP B-GENUS
Portuguese NN I-NP I-GENUS
archipelago NN B-NP B-HYPER
in IN B-PP O
the DT I-PP O
Atlantic NP I-PP O
Ocean NP I-PP O
, , O O
about RB B-NP O
1,500 CD I-NP O
km NN I-NP O
( ( O O
950 CD B-NP O
mi NN I-NP O
) ) O O
from IN B-PP O
Lisbon NP I-PP O
and CC O O
about RB B-NP O
3,900 CD I-NP O
km NN I-NP O
( ( O O
2,400 CD B-NP O
mi NN I-NP O
) ) O O
from IN B-PP O
the DT I-PP O
east JJ I-PP O
coast NN I-PP O
of IN I-PP O
North NP I-PP O
America NP I-PP O
. . O O

In IN I-PP O
the DT I-PP O
mathematical JJ I-PP O
subfield NN I-PP O
of IN I-PP O
numerical JJ I-PP O
analysis NN I-PP O
, , O O
a DT B-NP O
B-spline NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
spline NN I-NP I-GENUS
function NN B-NP B-HYPER
that WDT B-NP O
has VHZ B-VP O
minimal JJ B-NP O
support NN I-NP O
with IN B-PP O
respect NN I-PP O
to TO I-PP O
a DT I-PP O
given VVN I-PP O
degree NN I-PP O
, , O O
smoothness NN B-NP O
, , O O
and CC O O
domain NN B-NP O
partition NN I-NP O
. . O O

In IN B-PP O
computer NN I-PP O
science NN I-PP O
, , O O
a DT B-NP O
B-tree NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
tree NN I-NP I-GENUS
data NN B-NP B-HYPER
structure NN I-NP I-HYPER
that WDT B-NP O
keeps VVZ B-VP O
data NNS B-NP O
sorted VVN B-VP O
and CC I-VP O
allows VVZ I-VP O
searches NNS B-NP O
, , O O
insertions NNS B-NP O
, , O O
and CC O O
deletions NNS B-NP O
in IN B-PP O
logarithmic JJ I-PP O
amortized VVN I-PP O
time NN I-PP O
. . O O

In IN I-PP O
computer NN I-PP O
programming NN I-PP O
, , O O
BASIC NP B-NP B-TERM
( ( O O
an DT B-NP O
acronym NN I-NP O
for IN B-PP O
Beginner NP I-PP O
's POS I-PP O
All-purpose NP B-NP O
Symbolic NP I-NP O
Instruction NP I-NP O
Code NP I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
family NN I-NP O
of IN B-PP O
JJ ADJP O B-GENUS
programming VVG B-VP B-HYPER
languages NNS B-NP I-HYPER
. . O O

A DT B-NP O
Backplane NP I-NP B-TERM
( ( I-NP O
or CC I-NP O
" `` I-NP O
backplane NN I-NP O
system NN I-NP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
circuit NN B-NP B-HYPER
board NN I-NP I-HYPER
( ( B-NP O
RB ADVP O O
a DT B-NP O
printed JJ I-NP O
circuit NN I-NP O
board NN I-NP O
) ) O O
that WDT B-NP O
connects VVZ B-VP O
several JJ B-NP O
connectors NNS I-NP O
in IN B-PP O
parallel NN I-PP O
to TO I-PP O
each DT I-PP O
other JJ I-PP O
, , O O
RB ADVP O O
that IN O O
each DT B-NP O
pin NN I-NP O
of IN B-PP O
each DT I-PP O
connector NN I-PP O
is VBZ B-VP O
linked VVN I-VP O
to TO B-PP O
the DT I-PP O
same JJ I-PP O
relative JJ I-PP O
pin NN I-PP O
of IN I-PP O
all PDT I-PP O
the DT I-PP O
other JJ I-PP O
connectors NNS I-PP O
, , O O
forming VVG B-VP O
a DT B-NP O
computer NN I-NP O
bus NN I-NP O
. . O O

A DT I-NP O
Bactericide NN I-NP B-TERM
or CC O O
bacteriocide NN B-NP O
is VBZ B-VP O
a DT B-NP B-GENUS
substance NN B-NP B-HYPER
that WDT B-NP O
kills VVZ B-VP O
bacteria NNS B-NP O
and CC O O
, , O O
RB ADVP O O
, , O O
nothing NN B-NP O
else RB I-NP O
. . O O

A DT I-NP O
Bain-marie NP I-NP B-TERM
( ( O O
also RB B-VP O
known VVN I-VP O
as IN B-PP O
a DT I-PP O
double JJ I-PP O
boiler NN I-PP O
) ) O O
is VBZ B-VP O
a DT B-NP O
French JJ I-NP O
term NN I-NP O
for IN B-PP O
a DT B-PP B-GENUS
piece NN B-NP B-HYPER
of IN B-PP I-HYPER
equipment NN I-PP I-HYPER
used VVN B-VP O
in IN B-PP O
science NN I-PP O
, , I-PP O
industry NN I-PP O
, , O O
and CC O O
cooking VVG B-VP O
to TO I-VP O
heat VV I-VP O
materials NNS B-NP O
RB ADVP O O
CC ADVP O O
RB ADVP O O
to TO B-PP O
fixed JJ I-PP O
temperatures NNS I-PP O
, , O O
or CC O O
to TO B-VP O
keep VV I-VP O
materials NNS B-NP O
JJ ADJP O O
over IN B-PP O
a DT I-PP O
period NN I-PP O
of IN I-PP O
time NN I-PP O
. . O O

The DT B-NP O
Balalaika NP I-NP B-TERM
( ( O O
балала́йк NP B-NP O
, , O O
[bɐlɐˈlajkə] NP B-NP O
) ) O O
- : O O
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
instrument NN B-NP B-HYPER
of IN B-PP O
Russian JJ I-PP O
origin NN I-PP O
, , O O
with IN B-PP O
a DT I-PP O
characteristic JJ I-PP O
triangular JJ I-PP O
body NN I-PP O
and CC I-PP O
3 CD I-PP O
strings NNS I-PP O
( ( O O
or CC O O
RB ADVP O O
6 CD B-NP O
, , O O
in IN B-PP O
3 CD I-PP O
courses NNS I-PP O
) ) O O
. . O O

A DT B-NP O
Baldric NP I-NP B-TERM
( ( I-NP O
RB CONJP O O
baldrick NN B-NP O
, , O O
bawdrick NP B-NP O
, , O O
bauldrick NN B-NP O
as IN B-PP O
well RB I-PP O
as IN I-PP O
some DT I-PP O
other JJ I-PP O
, , O O
RB ADVP O O
rare JJ B-NP O
or CC I-NP O
obsolete JJ I-NP O
, , I-NP O
variations NNS I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
belt NN B-NP B-HYPER
worn VVN B-VP O
over IN B-PP O
one CD I-PP O
shoulder NN I-PP O
that WDT B-NP O
is VBZ B-VP O
typically RB I-VP O
used VVN I-VP O
to TO I-VP O
carry VV I-VP O
a DT B-NP O
weapon NN I-NP O
( ( O O
RB ADVP O O
a DT B-NP O
sword NN I-NP O
) ) O O
or CC O O
other JJ B-NP O
implement VV B-VP O
JJ ADJP O O
as IN B-PP O
a DT I-PP O
bugle NN I-PP O
or CC O O
drum VV B-VP O
. . O O

The DT B-NP O
Balkans NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP O
historic JJ I-NP O
and CC I-NP O
geographic JJ I-NP O
name NN I-NP O
used VVN B-VP O
to TO I-VP O
describe VV I-VP O
a DT B-NP B-GENUS
region NN B-NP B-HYPER
of IN B-PP O
southeastern JJ I-PP O
Europe NP I-PP O
. . O O

A DT B-NP O
Ballad NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
poem NN B-NP B-HYPER
usually RB B-VP O
set VVN I-VP O
to TO B-PP O
music NN I-PP O
; : O O
RB ADVP O O
, , O O
it PP B-NP O
RB ADVP O O
is VBZ B-VP O
a DT B-NP O
story NN I-NP O
told VVD B-VP O
in IN B-PP O
a DT I-PP O
song NN I-PP O
. . O O

A DT B-NP O
Balloon NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
flexible JJ B-NP B-HYPER
bag NN I-NP I-HYPER
filled VVN B-VP O
with IN B-PP O
a DT I-PP O
type NN I-PP O
of IN I-PP O
gas NN I-PP O
, , O O
JJ ADJP O O
as IN B-PP O
helium NN I-PP O
, , I-PP O
hydrogen NN I-PP O
, , I-PP O
nitrous JJ I-PP O
oxide NN I-PP O
or CC I-PP O
air NN I-PP O
. . O O

In IN I-PP O
computer NN I-PP O
networking NN I-PP O
and CC O O
other JJ B-NP O
digital JJ I-NP O
fields NNS I-NP O
, , O O
the DT B-NP O
term NN I-NP O
Bandwidth NN I-NP B-TERM
RB ADVP O O
refers VVZ B-VP O
to TO B-PP O
a DT B-PP B-GENUS
data NN B-NP B-HYPER
rate NN I-NP I-HYPER
measured VVN B-VP O
in IN B-PP O
bits/ NN I-PP O
s NNS I-PP O
, , O O
for IN B-PP O
example NN I-PP O
network NN I-PP O
throughput NN I-PP O
. . O O

The DT B-NP O
Banjo NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
instrument NN B-NP B-HYPER
developed VVN B-VP O
by IN B-PP O
enslaved VVN I-PP O
Africans NNS I-PP O
in IN I-PP O
the DT I-PP O
United NP I-PP O
States NPS I-PP O
, , O O
adapted VVN B-VP O
from IN B-PP O
several JJ I-PP O
African JJ I-PP O
instruments NNS I-PP O
. . O O

A DT B-NP O
banker NN I-NP O
or CC O O
Bank NP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
financial JJ I-NP I-GENUS
institution NN B-NP B-HYPER
whose WP$ B-NP O
primary JJ I-NP O
activity NN I-NP O
is VBZ B-VP O
to TO I-VP O
act VV I-VP O
as IN B-PP O
a DT I-PP O
payment NN I-PP O
agent NN I-PP O
for IN I-PP O
customers NNS I-PP O
, , O O
and CC O O
to TO B-VP O
borrow VV I-VP O
, , I-VP O
lend VV I-VP O
, , O O
and CC O O
, , O O
in IN B-PP O
all DT I-PP O
modern JJ I-PP O
banking NN I-PP O
systems NNS I-PP O
, , O O
create VV B-VP O
money NN B-NP O
. . O O

Banksia-integrifolia NN I-NP B-TERM
, , O O
RB ADVP O O
known VVN B-VP O
as IN B-PP O
Coast NP I-PP O
Banksia NP I-PP O
, , O O
is VBZ B-VP O
a DT B-NP O
species NN I-NP O
of IN B-PP O
tree NN B-PP B-HYPER
that WDT B-NP O
grows VVZ B-VP O
along IN B-PP O
the DT I-PP O
east JJ I-PP O
coast NN I-PP O
of IN I-PP O
Australia NP I-PP O
. . O O

Banksia-integrifolia-subsp.-compar NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subspecies NN I-NP O
of IN B-PP O
Banksia NP B-PP B-HYPER
integrifolia NN I-PP I-HYPER
. . O O

The DT B-NP O
Banshee NP I-NP B-TERM
( ( O O
/ˈbænʃiː/ NN B-NP O
) ) O O
, , O O
from IN B-PP O
the DT I-PP O
Irish JJ I-PP O
bean NN I-PP O
sí NN I-PP O
( ( O O
" `` B-NP O
woman NN I-NP O
of IN B-PP O
the DT I-PP O
síde NN I-PP O
" '' O O
or CC O O
" `` B-NP O
woman NN I-NP O
of IN B-PP O
the DT I-PP O
fairy NN I-PP O
mounds NNS I-PP O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
female NN I-NP I-GENUS
spirit NN B-NP B-HYPER
in IN B-PP O
Irish JJ I-PP O
mythology NN I-PP O
, , O O
usually RB B-VP O
seen VVN I-VP O
as IN B-PP O
an DT I-PP O
omen NN I-PP O
of IN I-PP O
death NN I-PP O
and CC O O
a DT B-NP O
messenger NN I-NP O
from IN B-PP O
the DT I-PP O
Otherworld NP I-PP O
. . O O

In IN I-PP O
Christianity NN I-PP O
, , O O
Baptism NP B-NP B-TERM
( ( O O
Greek NP B-NP O
, , O O
" `` O O
immersing VVG B-VP O
" '' O O
, , O O
" '' O O
performing VVG B-NP O
ablutions NNS I-NP O
" '' O O
) ) O O
is VBZ B-VP O
the DT B-NP B-GENUS
sacramental JJ B-NP B-HYPER
act NN I-NP I-HYPER
of IN B-PP O
cleansing VVG B-VP O
in IN B-PP O
water NN I-PP O
that WDT B-NP O
admits VVZ B-VP O
one CD B-NP O
as IN B-PP O
a DT I-PP O
full JJ I-PP O
member NN I-PP O
of IN I-PP O
the DT I-PP O
Church NP I-PP O
. . O O

A DT I-NP O
Barrister NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
lawyer NN B-NP B-HYPER
found VVN B-VP O
in IN B-PP O
many JJ I-PP O
common JJ I-PP O
law NN I-PP O
jurisdictions NNS I-PP O
which WDT B-NP O
employ VVP B-VP O
a DT B-NP O
split NN I-NP O
profession NN I-NP O
( ( O O
as RB B-NP O
opposed VVN B-VP O
to TO B-PP O
a DT I-PP O
fused VVN I-PP O
profession NN I-PP O
) ) O O
in IN B-PP O
relation NN I-PP O
to TO I-PP O
legal JJ I-PP O
representation NN I-PP O
. . O O

The DT B-NP O
Basenji NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
breed NN B-NP B-HYPER
of IN B-PP O
hunting NN I-PP O
dog NN B-NP O
that WDT B-NP O
originates VVZ B-VP O
in IN B-PP O
central JJ I-PP O
Africa NP I-PP O
. . O O

Basis NN B-NP B-TERM
may MD B-VP O
refer VV I-VP O
to TO B-PP O
the DT B-PP B-GENUS
value NN B-NP B-HYPER
differential NN I-NP I-HYPER
between IN B-PP O
a DT I-PP O
future NN I-PP O
and CC O O
the DT B-NP O
spot NN I-NP O
price NN I-NP O
. . O O

In IN B-PP O
linear JJ I-PP O
algebra NN I-PP O
, , O O
a DT B-NP O
Basis NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
set NN B-NP B-HYPER
of IN B-PP I-HYPER
vectors NNS B-NP I-HYPER
that WDT B-NP O
, , O O
in IN B-PP O
a DT I-PP O
linear JJ I-PP O
combination NN I-PP O
, , O O
can MD B-VP O
represent VV I-VP O
every DT B-NP O
vector NN I-NP O
in IN B-PP O
a DT I-PP O
given VVN I-PP O
vector NN I-PP O
space NN I-PP O
, , O O
and CC O O
JJ ADJP O O
that IN O O
no DT B-NP O
element NN I-NP O
of IN B-PP O
the DT I-PP O
set NN I-PP O
can MD B-VP O
be VB I-VP O
represented VVN I-VP O
as IN B-PP O
a DT I-PP O
linear JJ I-PP O
combination NN I-PP O
of IN I-PP O
the DT I-PP O
others NNS I-PP O
. . O O

The DT B-NP O
Bassoon NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
woodwind NN I-NP I-GENUS
instrument NN B-NP B-HYPER
in IN B-PP O
the DT I-PP O
double JJ I-PP O
reed NN I-PP O
family NN I-PP O
that WDT B-NP O
RB ADVP O O
plays VVZ B-VP O
music NN B-NP O
written VVN B-VP O
in IN B-PP O
the DT I-PP O
bass NN I-PP O
and CC I-PP O
tenor NN I-PP O
registers NNS I-PP O
and CC O O
RB ADJP O O
RB ADJP O O
JJR ADJP O O
. . O O

The DT B-NP O
Bastarnae NP I-NP B-TERM
were VBD B-VP O
an DT B-NP B-GENUS
important JJ I-NP I-GENUS
ancient NN I-NP I-GENUS
people NNS B-NP B-HYPER
of IN B-PP O
JJ ADJP O O
, , O O
but CC O O
probably RB B-NP O
mixed JJ I-NP O
Germanic-Celtic-Sarmatian NP I-NP O
, , O O
ethnic JJ B-NP O
origin NN I-NP O
, , O O
who WP B-NP O
lived VVD B-VP O
between IN B-PP O
the DT I-PP O
Danube NP I-PP O
and CC O O
the DT B-NP O
Dnieper NP I-NP O
( ( O O
Strabo NP B-NP O
, , O O
Geography NP B-NP O
, , O O
VII NP B-NP O
, , O O
3,17 CD B-NP O
) ) O O
during IN B-PP O
the DT I-PP O
last JJ I-PP O
centuries NNS I-PP O
BC NP B-NP O
and CC O O
early JJ B-NP O
centuries NNS I-NP O
AD NN I-NP O
. . O O

A DT I-NP O
Bat NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
mammal NN B-NP B-HYPER
in NN B-NP O
the DT I-NP O
order NN I-NP O
Chiroptera NP I-NP O
. . O O

The DT I-NP O
Batavians NP I-NP B-TERM
( ( O O
Latin NP B-NP O
Batavi NP I-NP O
) ) O O
were VBD B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
tribe NN B-NP B-HYPER
, , O O
RB ADVP O O
part NN B-NP O
of IN B-PP O
the DT I-PP O
Chatti NP I-PP O
, , O O
reported VVD B-VP O
by IN B-PP O
Tacitus NP I-PP O
to TO B-VP O
have VH I-VP O
lived VVN I-VP O
around IN B-PP O
the DT I-PP O
Rhine NP I-PP O
delta NN I-PP O
, , O O
in IN B-PP O
the DT I-PP O
area NN I-PP O
that WDT B-NP O
is VBZ B-VP O
RB ADVP O O
the DT B-NP O
Netherlands NPS I-NP O
, , O O
" '' O O
an DT B-NP O
uninhabited JJ I-NP O
district NN I-NP O
on IN B-PP O
the DT I-PP O
extremity NN I-PP O
of IN I-PP O
the DT I-PP O
coast NN I-PP O
of IN I-PP O
Gaul NP I-PP O
, , O O
and CC O O
RB ADVP O O
of IN B-PP O
a DT I-PP O
neighbouring VVG I-PP O
island NN I-PP O
, , O O
surrounded VVN B-VP O
by IN B-PP O
the DT I-PP O
ocean NN I-PP O
in IN I-PP O
front NN I-PP O
, , O O
and CC O O
by IN B-PP O
the DT I-PP O
river NN I-PP O
Rhine NP B-NP O
in IN B-PP O
the DT I-PP O
rear NN I-PP O
and CC O O
on IN B-PP O
either DT I-PP O
side NN I-PP O
" '' O O
( ( O O
Tacitus NP B-NP O
, , O O
Historiae NN B-NP O
iv NN I-NP O
) ) O O
. . O O

In IN B-PP O
electronics NNS I-PP O
, , O O
a DT B-NP O
Battery NP I-NP B-TERM
is VBZ B-VP O
two CD B-NP O
or CC I-NP O
